exp,method,benchmark,seed,final_regret,n_iters,distinct_regret,incumbent_improved,final_cost,lf_fraction,path
ko_mes_paper,KO-MES,Currin_2D,46,0.0024099712620309077,210,9,,300.0,0.7857142857142857,results/ko_mes_paper/checkpoints/KO-MES__Currin_2D__seed46.json
ko_mes_paper,KO-MES,Hartmann_6D,42,0.18771059872784823,297,5,,801.0,0.7575757575757576,results/ko_mes_paper/checkpoints/KO-MES__Hartmann_6D__seed42.json
ko_mes_paper,KO-MES,Hartmann_6D,43,0.34237594029703633,337,3,,806.0,0.8011869436201781,results/ko_mes_paper/checkpoints/KO-MES__Hartmann_6D__seed43.json
ko_mes_paper,KO-MES,Hartmann_6D,44,0.38771269546343534,285,7,,803.0,0.7403508771929824,results/ko_mes_paper/checkpoints/KO-MES__Hartmann_6D__seed44.json
ko_mes_paper,KO-MES,Hartmann_6D,45,0.5067932334265408,240,6,,800.0,0.6666666666666666,results/ko_mes_paper/checkpoints/KO-MES__Hartmann_6D__seed45.json
ko_mes_paper,KO-MES,Hartmann_6D,46,0.23244802895988803,674,2,,800.0,0.973293768545994,results/ko_mes_paper/checkpoints/KO-MES__Hartmann_6D__seed46.json
ko_mes_paper,MF-GP-UCB,Borehole_8D,42,115.75769642475484,200,1,,200.0,1.0,results/ko_mes_paper/checkpoints/MF-GP-UCB__Borehole_8D__seed42.json
ko_mes_paper,MF-GP-UCB,Borehole_8D,43,113.95990540090429,200,1,,200.0,1.0,results/ko_mes_paper/checkpoints/MF-GP-UCB__Borehole_8D__seed43.json
ko_mes_paper,MF-GP-UCB,Borehole_8D,44,65.05902632649767,200,1,,200.0,1.0,results/ko_mes_paper/checkpoints/MF-GP-UCB__Borehole_8D__seed44.json
ko_mes_paper,MF-GP-UCB,Borehole_8D,45,110.55464023467601,200,1,,200.0,1.0,results/ko_mes_paper/checkpoints/MF-GP-UCB__Borehole_8D__seed45.json
ko_mes_paper,MF-GP-UCB,Borehole_8D,46,85.08151216051533,200,1,,200.0,1.0,results/ko_mes_paper/checkpoints/MF-GP-UCB__Borehole_8D__seed46.json
ko_mes_paper,MF-GP-UCB,Currin_2D,42,3.5826653004969238,300,1,,300.0,1.0,results/ko_mes_paper/checkpoints/MF-GP-UCB__Currin_2D__seed42.json
ko_mes_paper,MF-GP-UCB,Currin_2D,43,2.2575823370757355,300,1,,300.0,1.0,results/ko_mes_paper/checkpoints/MF-GP-UCB__Currin_2D__seed43.json
ko_mes_paper,MF-GP-UCB,Currin_2D,44,3.076718002508038,300,1,,300.0,1.0,results/ko_mes_paper/checkpoints/MF-GP-UCB__Currin_2D__seed44.json
ko_mes_paper,MF-GP-UCB,Currin_2D,45,3.5884150780120407,300,1,,300.0,1.0,results/ko_mes_paper/checkpoints/MF-GP-UCB__Currin_2D__seed45.json
ko_mes_paper,MF-GP-UCB,Currin_2D,46,2.870339426131915,300,1,,300.0,1.0,results/ko_mes_paper/checkpoints/MF-GP-UCB__Currin_2D__seed46.json
ko_mes_paper,MF-GP-UCB,Hartmann_6D,42,2.015001965017962,800,1,,800.0,1.0,results/ko_mes_paper/checkpoints/MF-GP-UCB__Hartmann_6D__seed42.json
ko_mes_paper,MF-GP-UCB,Hartmann_6D,43,3.2014210764524536,800,1,,800.0,1.0,results/ko_mes_paper/checkpoints/MF-GP-UCB__Hartmann_6D__seed43.json
ko_mes_paper,MF-GP-UCB,Hartmann_6D,44,2.0369702511062613,800,1,,800.0,1.0,results/ko_mes_paper/checkpoints/MF-GP-UCB__Hartmann_6D__seed44.json
ko_mes_paper,MF-GP-UCB,Hartmann_6D,45,2.221369157833541,800,1,,800.0,1.0,results/ko_mes_paper/checkpoints/MF-GP-UCB__Hartmann_6D__seed45.json
ko_mes_paper,MF-GP-UCB,Hartmann_6D,46,2.8432000953243786,800,1,,800.0,1.0,results/ko_mes_paper/checkpoints/MF-GP-UCB__Hartmann_6D__seed46.json
ko_mes_paper,MF-MI-Greedy,Borehole_8D,42,34.27941359477762,100,5,,200.0,0.0,results/ko_mes_paper/checkpoints/MF-MI-Greedy__Borehole_8D__seed42.json
ko_mes_paper,MF-MI-Greedy,Borehole_8D,43,20.496729978665087,100,8,,201.0,0.009900990099009901,results/ko_mes_paper/checkpoints/MF-MI-Greedy__Borehole_8D__seed43.json
ko_mes_paper,MF-MI-Greedy,Borehole_8D,44,36.36249668537107,100,4,,200.0,0.0,results/ko_mes_paper/checkpoints/MF-MI-Greedy__Borehole_8D__seed44.json
ko_mes_paper,MF-MI-Greedy,Borehole_8D,45,23.76925604179229,100,7,,200.0,0.0,results/ko_mes_paper/checkpoints/MF-MI-Greedy__Borehole_8D__seed45.json
ko_mes_paper,MF-MI-Greedy,Borehole_8D,46,36.452322788115396,100,5,,200.0,0.0,results/ko_mes_paper/checkpoints/MF-MI-Greedy__Borehole_8D__seed46.json
ko_mes_paper,MF-MI-Greedy,Currin_2D,42,1.982739270545153e-07,57,18,,300.0,0.6935483870967742,results/ko_mes_paper/checkpoints/MF-MI-Greedy__Currin_2D__seed42.json
ko_mes_paper,MF-MI-Greedy,Currin_2D,43,6.30235374927679e-05,50,10,,300.0,0.75,results/ko_mes_paper/checkpoints/MF-MI-Greedy__Currin_2D__seed43.json
ko_mes_paper,MF-MI-Greedy,Currin_2D,44,0.00016536380366005687,50,8,,300.0,0.75,results/ko_mes_paper/checkpoints/MF-MI-Greedy__Currin_2D__seed44.json
ko_mes_paper,MF-MI-Greedy,Currin_2D,45,0.0024885313998233016,66,16,,300.0,0.6071428571428571,results/ko_mes_paper/checkpoints/MF-MI-Greedy__Currin_2D__seed45.json
ko_mes_paper,MF-MI-Greedy,Currin_2D,46,0.0004946203590137088,51,17,,305.0,0.7487684729064039,results/ko_mes_paper/checkpoints/MF-MI-Greedy__Currin_2D__seed46.json
ko_mes_paper,MF-MI-Greedy,Hartmann_6D,42,0.3842273511663059,51,6,,802.0,0.8853932584269663,results/ko_mes_paper/checkpoints/MF-MI-Greedy__Hartmann_6D__seed42.json
ko_mes_paper,MF-MI-Greedy,Hartmann_6D,43,0.19536831956944045,62,12,,802.0,0.8315217391304348,results/ko_mes_paper/checkpoints/MF-MI-Greedy__Hartmann_6D__seed43.json
ko_mes_paper,MF-MI-Greedy,Hartmann_6D,44,0.28303624660972027,55,7,,808.0,0.8699763593380615,results/ko_mes_paper/checkpoints/MF-MI-Greedy__Hartmann_6D__seed44.json
ko_mes_paper,MF-MI-Greedy,Hartmann_6D,45,0.2745515987397007,51,7,,802.0,0.8853932584269663,results/ko_mes_paper/checkpoints/MF-MI-Greedy__Hartmann_6D__seed45.json
ko_mes_paper,MF-MI-Greedy,Hartmann_6D,46,0.25710498808021587,54,7,,800.0,0.8720379146919431,results/ko_mes_paper/checkpoints/MF-MI-Greedy__Hartmann_6D__seed46.json
